date,AAPL,MSFT,XOM,BP
2020-01-02,75.0875,160.62,70.9,38.14
2020-01-03,74.3575,158.62,70.33,38.83
2020-01-06,74.95,159.03,70.87,39.85
2020-01-07,74.5975,157.58,70.29,39.43
2020-01-08,75.7975,160.09,69.23,38.83
2020-01-09,77.4075,162.09,69.76,38.96
2020-01-10,77.5825,161.34,69.14,38.74
2020-01-13,79.24,163.28,69.8,38.8
2020-01-14,78.17,162.13,69.2,38.82
2020-01-15,77.835,163.18,69.09,38.71
2020-01-16,78.81,166.17,68.82,38.84
2020-01-17,79.6825,167.1,68.56,38.77
2020-01-21,79.1425,166.5,67.58,38.32
2020-01-22,79.425,165.7,67.19,37.88
2020-01-23,79.8075,166.72,66.77,38.2
2020-01-24,79.5775,165.04,66.32,38.13
2020-01-27,77.2375,162.28,64.74,37.44
2020-01-28,79.4225,165.46,64.65,37.41
2020-01-29,81.085,168.04,64.11,37.17
2020-01-30,80.9675,172.78,64.79,37.03
2020-01-31,77.3775,170.23,62.12,36.13
2020-02-03,77.165,174.38,60.73,35.23
2020-02-04,79.7125,180.12,59.97,36.5
2020-02-05,80.3625,179.9,62.73,37.67
2020-02-06,81.3025,183.63,61.88,36.88
2020-02-07,80.0075,183.89,61.47,36.37
2020-02-10,80.3875,188.7,59.96,36.19
2020-02-11,79.9025,184.44,60.53,36.55
2020-02-12,81.8,184.71,61.27,37.17
2020-02-13,81.2175,183.71,60.93,36.18
2020-02-14,81.2375,185.35,60.65,36.0
2020-02-18,79.75,187.23,59.88,36.09
2020-02-19,80.905,187.28,60.34,36.25
2020-02-20,80.075,184.42,59.86,35.98
2020-02-21,78.2625,178.59,59.13,35.36
2020-02-24,74.545,170.89,56.36,34.06
2020-02-25,72.02,168.07,54.2,32.93
2020-02-26,73.1625,170.17,53.01,32.68
2020-02-27,68.38,158.18,49.82,31.53
2020-02-28,68.34,162.01,51.44,31.29
2020-03-02,74.7025,172.79,53.88,32.23
2020-03-03,72.33,164.51,51.3,31.92
2020-03-04,75.685,170.55,52.42,33.14
2020-03-05,73.23,166.27,50.11,32.6
2020-03-06,72.2575,161.57,47.69,31.25
2020-03-09,66.5425,150.62,41.86,25.28
